"CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T"
30,"SC",154720,"SC","COTTONWOOD CHRISTIAN CENTER","4505  KATELLA AVE","LOS ALAMITOS","90720",8661,"ORA","SOUTH COAST AQMD","","",.002672276552194678189674778257903115760746,.00235,.0064,.02,.0000132,.0021,.0020874
19,"SC",180466,"SC","COUNTRY HILLS CLEANERS, SAM CHO","2913  ROLLING HILLS RD","TORRANCE","90505",7212,"LA","SOUTH COAST AQMD","","",.00878,.00878,,,,,
19,"SC",150358,"SC","COUNTY OF LOS ANGELES SHERIFF'S DEPT","1310 W IMPERIAL HWY","LOS ANGELES","90044",9711,"LA","SOUTH COAST AQMD","","",.0557539231294064134637252672276552194678,.05506,.01,.06,.0000284,.00452,.00449288
30,"SC",132406,"SC","COUNTY OF ORANGE, HEALTH CARE AGENCY","401 S TUSTIN ST","ORANGE","92867",9431,"ORA","SOUTH COAST AQMD","","",.001284967022970206959290425289970434387082,.00113,.00306,.01,.0000063,.00101,.00100394
30,"SC",159615,"SC","COUNTY OF ORANGE, OC PUBLIC WORKS/O&M","2301 N GLASSELL ST","ORANGE","92865",9199,"ORA","SOUTH COAST AQMD","","",.001921764839663406868319308619513304525813,.00169,.00459,.02,.00000945,.00151,.00150094
30,"SC",158324,"SC","COUNTY OF ORANGE, SOCIAL SERVICES AGENCY","15405  LANSDOWNE RD","TUSTIN","92782",9999,"ORA","SOUTH COAST AQMD","","",.002558562656356606777348191949056174664544,.00225,.00612,.02,.0000126,.00201,.00199794
30,"SC",117105,"SC","COUNTY OF ORANGE/HARBORS,BEACHES, PARKS","1901  BAYSIDE DR","CORONA DEL MAR","92625",9221,"ORA","SOUTH COAST AQMD","","",.0103362641567699664001279249673839447766,.010188,.00051,.00235,.00000105,.000168,.000166992
30,"SC",152579,"SC","COUNTY OF ORANGE/HBP, O'NEILL REG PARK","30892  TRABUCO CANYON RD","TRABUCO CANYON","92678",9512,"ORA","SOUTH COAST AQMD","","",.000333181714805549238116897884921537411872,.000293,.000796,.00366,.00000164,.000261,.000259434
30,"SC",180449,"SC","COUNTY OF ORANGE/HEALTH CARE AGENCY","405 W 5TH ST","SANTA ANA","92701",8621,"ORA","SOUTH COAST AQMD","","",.00117125312713213554696383898112349329088,.00103,.00281,.01,.00000578,.000921,.000915474
30,"SC",114953,"SC","COUNTY OF ORANGE/SHERIFF DEPT-FAC OPS","6569  VALLEY VIEW ST","LA PALMA","90623",9221,"ORA","SOUTH COAST AQMD","","",.000000581078007732544916988856038207869001592,.000000511,.000000511,.000000511,.000000511,.000000511,.000000507934
30,"SC",115496,"SC","COUNTY OF ORANGE/SHERIFF DEPT-FAC OPS","721  AVENIDA SALVADOR","SAN CLEMENTE","92672",9221,"ORA","SOUTH COAST AQMD","","",.000000581078007732544916988856038207869001592,.000000511,.000000511,.000000511,.000000511,.000000511,.000000507934
30,"SC",131779,"SC","COUNTY OF ORANGE/SHERIFF-CORONER DEPT.","11  JOURNEY","ALISO VIEJO","92656",9221,"ORA","SOUTH COAST AQMD","","",.00009927223106663634296110984762337957698431,.0000873,.0000873,.0000873,.0000873,.0000873,.0000867762
